 longitude,latitude,de,dn
  165.0000,-45.0000,9999.000000,9999.000000
  166.0000,-45.0000,   0.000005,  -0.000038
  167.0000,-45.0000,  -0.017348,   0.003656
  168.0000,-45.0000,  -0.024798,  -0.007445
  169.0000,-45.0000,  -0.028422,  -0.010205
  170.0000,-45.0000,  -0.030184,  -0.011350
  171.0000,-45.0000,  -0.032331,  -0.010280
  172.0000,-45.0000,  -0.033403,  -0.011280
  173.0000,-45.0000,  -0.034570,  -0.011132
  174.0000,-45.0000,9999.000000,9999.000000
  175.0000,-45.0000,9999.000000,9999.000000
  165.0000,-44.0000,9999.000000,9999.000000
  166.0000,-44.0000,9999.000000,9999.000000
  167.0000,-44.0000,  -0.000061,  -0.000002
  168.0000,-44.0000,  -0.001394,   0.000252
  169.0000,-44.0000,  -0.016002,  -0.004395
  170.0000,-44.0000,  -0.027274,  -0.009505
  171.0000,-44.0000,  -0.032482,  -0.010746
  172.0000,-44.0000,  -0.033719,  -0.010920
  173.0000,-44.0000,  -0.034525,  -0.010449
  174.0000,-44.0000,  -0.035726,  -0.010203
  175.0000,-44.0000,9999.000000,9999.000000
  165.0000,-43.0000,9999.000000,9999.000000
  166.0000,-43.0000,9999.000000,9999.000000
  167.0000,-43.0000,9999.000000,9999.000000
  168.0000,-43.0000,9999.000000,9999.000000
  169.0000,-43.0000,  -0.001754,   0.000413
  170.0000,-43.0000,  -0.004587,   0.001013
  171.0000,-43.0000,  -0.010925,  -0.001978
  172.0000,-43.0000,  -0.026934,  -0.009188
  173.0000,-43.0000,  -0.032628,  -0.010602
  174.0000,-43.0000,  -0.035368,  -0.010733
  175.0000,-43.0000,  -0.036957,  -0.009595
  165.0000,-42.0000,9999.000000,9999.000000
  166.0000,-42.0000,9999.000000,9999.000000
  167.0000,-42.0000,9999.000000,9999.000000
  168.0000,-42.0000,9999.000000,9999.000000
  169.0000,-42.0000,9999.000000,9999.000000
  170.0000,-42.0000,  -0.000899,   0.000152
  171.0000,-42.0000,  -0.003066,   0.000111
  172.0000,-42.0000,  -0.006410,   0.000367
  173.0000,-42.0000,  -0.013446,  -0.001708
  174.0000,-42.0000,  -0.027492,  -0.009490
  175.0000,-42.0000,  -0.038119,  -0.010108
  165.0000,-41.0000,9999.000000,9999.000000
  166.0000,-41.0000,9999.000000,9999.000000
  167.0000,-41.0000,9999.000000,9999.000000
  168.0000,-41.0000,9999.000000,9999.000000
  169.0000,-41.0000,9999.000000,9999.000000
  170.0000,-41.0000,9999.000000,9999.000000
  171.0000,-41.0000,  -0.000143,   0.000067
  172.0000,-41.0000,  -0.003078,   0.000369
  173.0000,-41.0000,  -0.006795,   0.000237
  174.0000,-41.0000,  -0.010351,  -0.001485
  175.0000,-41.0000,  -0.019815,  -0.005299
  165.0000,-40.0000,9999.000000,9999.000000
  166.0000,-40.0000,9999.000000,9999.000000
  167.0000,-40.0000,9999.000000,9999.000000
  168.0000,-40.0000,9999.000000,9999.000000
  169.0000,-40.0000,9999.000000,9999.000000
  170.0000,-40.0000,9999.000000,9999.000000
  171.0000,-40.0000,9999.000000,9999.000000
  172.0000,-40.0000,9999.000000,9999.000000
  173.0000,-40.0000,  -0.002503,  -0.000043
  174.0000,-40.0000,  -0.005557,  -0.001065
  175.0000,-40.0000,  -0.008842,  -0.003135
  165.0000,-39.0000,9999.000000,9999.000000
  166.0000,-39.0000,9999.000000,9999.000000
  167.0000,-39.0000,9999.000000,9999.000000
  168.0000,-39.0000,9999.000000,9999.000000
  169.0000,-39.0000,9999.000000,9999.000000
  170.0000,-39.0000,9999.000000,9999.000000
  171.0000,-39.0000,9999.000000,9999.000000
  172.0000,-39.0000,9999.000000,9999.000000
  173.0000,-39.0000,9999.000000,9999.000000
  174.0000,-39.0000,  -0.001602,  -0.000910
  175.0000,-39.0000,  -0.001797,  -0.001735
  165.0000,-38.0000,9999.000000,9999.000000
  166.0000,-38.0000,9999.000000,9999.000000
  167.0000,-38.0000,9999.000000,9999.000000
  168.0000,-38.0000,9999.000000,9999.000000
  169.0000,-38.0000,9999.000000,9999.000000
  170.0000,-38.0000,9999.000000,9999.000000
  171.0000,-38.0000,9999.000000,9999.000000
  172.0000,-38.0000,9999.000000,9999.000000
  173.0000,-38.0000,9999.000000,9999.000000
  174.0000,-38.0000,9999.000000,9999.000000
  175.0000,-38.0000,  -0.000158,  -0.001108
  165.0000,-37.0000,9999.000000,9999.000000
  166.0000,-37.0000,9999.000000,9999.000000
  167.0000,-37.0000,9999.000000,9999.000000
  168.0000,-37.0000,9999.000000,9999.000000
  169.0000,-37.0000,9999.000000,9999.000000
  170.0000,-37.0000,9999.000000,9999.000000
  171.0000,-37.0000,9999.000000,9999.000000
  172.0000,-37.0000,9999.000000,9999.000000
  173.0000,-37.0000,9999.000000,9999.000000
  174.0000,-37.0000,  -0.000056,  -0.000048
  175.0000,-37.0000,  -0.000154,  -0.000571
  165.0000,-36.0000,9999.000000,9999.000000
  166.0000,-36.0000,9999.000000,9999.000000
  167.0000,-36.0000,9999.000000,9999.000000
  168.0000,-36.0000,9999.000000,9999.000000
  169.0000,-36.0000,9999.000000,9999.000000
  170.0000,-36.0000,9999.000000,9999.000000
  171.0000,-36.0000,9999.000000,9999.000000
  172.0000,-36.0000,   0.000000,   0.000001
  173.0000,-36.0000,  -0.000045,   0.000019
  174.0000,-36.0000,  -0.000131,   0.000086
  175.0000,-36.0000,   0.000436,  -0.000278
  165.0000,-35.0000,9999.000000,9999.000000
  166.0000,-35.0000,9999.000000,9999.000000
  167.0000,-35.0000,9999.000000,9999.000000
  168.0000,-35.0000,9999.000000,9999.000000
  169.0000,-35.0000,9999.000000,9999.000000
  170.0000,-35.0000,9999.000000,9999.000000
  171.0000,-35.0000,9999.000000,9999.000000
  172.0000,-35.0000,   0.000067,   0.000024
  173.0000,-35.0000,   0.000160,   0.000062
  174.0000,-35.0000,   0.000418,   0.000116
  175.0000,-35.0000,   0.001172,  -0.000365
